name,price,green_rate,plot_ratio,address
铁路花园小区,12077,25.00%,,云龙/楚王陵/复兴南路301号
香格里拉二期,7265,27.00%,2.5,新沂/新沂市区/人民路
天润花园,13223,28.00%,1.26,鼓楼/和风雅致/二环北路10号
崔庄小区,9373,28.00%,0.8,泉山/矿业大学/解放南路
金狮小区,5492,28.00%,,云龙/民富园/三环东路
学府嘉苑,10107,28.00%,,泉山/泉山森林公园/解放南路，近学府路
锦绣茗都,15600,28.00%,5.7,鼓楼/九龙湖/解放北路4号
万隆公寓,9636,28.00%,0.8,鼓楼/祥和路/祥和东街1号
万裕花园,15747,28.00%,,泉山/凤鸣路/凤台路8号
银龙嘉园,5720,28.00%,1.2,丰县/城区/解放东路
徐州风华园,11200,30.00%,,泉山/风华园/三环南路130号
锦绣山水(南区),15718,30.00%,1.5,鼓楼/荆马河/奔腾大道
锦绣年华,13961,30.00%,2.4,泉山/小康人家/二轻路3号
贵邦俊园(西区),12835,30.00%,1.5,云龙/九七医院/响山路1-101号
怡康花园,13874,30.00%,1.6,鼓楼/九龙湖/马场湖西路
春雨花园,11074,30.00%,0.9,泉山/快哉亭公园/三环西路
永康小区,16991,30.00%,2.5,鼓楼/彭城广场/洪学巷
山水龙瑞,13798,30.00%,2,鼓楼/荆马河/机场路104号
豪绅嘉苑,11901,30.00%,1.35,鼓楼/东站/观宇路2号
现代汉城,7080,30.00%,1.5,邳州/邳州市区/长江路
民安园,11693,30.00%,1.5,泉山/西苑/民安南路
中锐星尚城,14882,30.00%,2.2,"新城区/新市政府/丽水路,近清风路"
春华园,11493,30.00%,,鼓楼/堤北/中山北路
国华天玺,15562,30.00%,3,鼓楼/古彭广场/中山北路249号
贵和苑,14390,30.00%,2.19,鼓楼/九龙湖/马场湖西路
杏山花园,8565,30.00%,2,泉山/云龙湖风景区/三环西路
万科城A1区,13849,30.00%,1.8,鼓楼/鼓楼周边/天齐路6号
幸福家园(东区),10892,30.00%,1.68,泉山/淮西客运站/新淮海西路
碧水湾(南区),10771,30.00%,1.9,"泉山/碧水湾/泉新路,翟北路"
天骄世家,22447,30.00%,2.7,鼓楼/堤北/环城路173号
华商清水湾D区,13198,30.00%,1.6,鼓楼/荆马河/清水路
永嘉太阳城,13134,30.00%,1.28,泉山/泉山美墅/三环南路29号
水岸春天,11340,30.00%,1.5,鼓楼/清水湾/奔腾大道
金山福地一期,12135,30.00%,1.6,"金山桥开发区/金龙湖/徐海路,近汉源大道"
恒昌花园,11705,30.00%,,鼓楼/堤北/华祖庙路
星光名庭,12169,30.00%,1.4,金山桥开发区/泰隆商业街/长安大道
风华南苑,10761,30.00%,1,"铜山/文泰康城/风华南路,近翟南路"
湖光山色北区,20430,30.00%,1.66,泉山/建国西路/建国西路
国信上城云玺,16004,30.00%,2.3,新城区/大龙湖/民生路
纺南小区,10358,30.00%,1.2,泉山/湖滨小区/二环西路29号
润家香花畦,12509,30.00%,1.3,鼓楼/下淀/白云路
永业世纪花园,11308,30.00%,2.5,鼓楼/庆云桥西/铜沛路186号
美好汇邻湾,14695,30.00%,2.3,"鼓楼/下淀路/下淀路,近东三环快速路"
未来城,15535,30.00%,2,新城区/商务城/明正路
梅园小区,9952,30.00%,1.2,铜山/铜山新区/同昌西路73号
银湖小区,12974,30.00%,1.3,泉山/云龙湖风景区/湖北路
睢宁大院,7695,30.00%,1.48,"睢宁/城区/八一东路,近文学北路"
文苑小区,9003,30.00%,,"铜山/文泰康城/文苑南路,近上海路"
绿地高铁东城(一期),9658,30.00%,1.46,贾汪/新夏路口/彭祖大道
黄河景园,11939,30.00%,0.8,泉山/夹河街东/夹河街2号
驿城花园,8478,30.00%,1.5,铜山/铜山万达/长安路
枫园小区,9052,30.00%,1,铜山/铜山新区/淮河西路14号
香山庭院,12827,30.00%,1.5,鼓楼/响山路/响山路
立达小区,10266,30.00%,,泉山/市二院/立达路
桃园小区,10346,30.00%,1.4,"鼓楼/金山桥/杨山路,近龙潭环路"
泰山绿色家园,5172,30.00%,,泉山/风华园/金山东路
荣盛香榭兰庭,14670,30.00%,2.5,"云龙/万达广场/庆丰路,近黄山路"
河畔花城,15771,30.00%,2.99,泉山/天山绿洲/苏堤北路57号
新华景苑,15840,30.00%,1.47,泉山/风华园/风华南路6号
汉御花园,19333,30.00%,1.3,云龙/沃尔玛/中山南路173号
军缘新城,10882,30.00%,2.3,鼓楼/鼓楼广场/马场湖西路
安达家园,12092,30.00%,,云龙/火车站/响山路
大汉富邦公寓,6168,30.00%,,云龙/汽车客运总站/复兴南路123号
恒生嘉苑,10366,30.00%,,泉山/建国西路/二环西路56号
西湖美景,13679,30.00%,1.2,泉山/湖滨小区/二环西路
乐庭公寓,12163,30.00%,1.5,泉山/鑫苑景园/矿山路
城建家园,7311,30.00%,,"云龙/万达广场/东丰路,近假山路"
同昌小区,9268,30.00%,,"铜山/铜山万达/同昌西路,近上海路"
华润绿地凯旋门,20972,30.00%,3.1,鼓楼/古彭广场/中山北路
翰林豪庭,5471,30.00%,1.8,鼓楼/煤港路/天平四巷
舜淮府第,13492,30.00%,2.1,泉山/矿业大学/解放南路
西雅园(南区),15734,30.00%,2.5,泉山/西苑/西苑中路12号
287大院,13936,30.00%,1.3,云龙/楚王陵/复兴南路287号
华商格林豪森,6771,30.00%,1.9,泉山/碧水湾/泉新路
金月名人居,16642,30.00%,1.9,泉山/彭城广场/少华街120号
瑞龙东方广场,10000,30.00%,1.7,云龙/楚王陵/三环东路
新成花园,9644,30.00%,1.25,鼓楼/杨庄/大庆路22号
东部美的城,5989,30.00%,1.7,贾汪/新夏路口/大泉路9号
苹果新天地,12588,30.00%,3.5,"鼓楼/清水湾/金马路,近殷庄路"
皇家马德里,6687,30.00%,1.57,睢宁/城区/104国道
宝龙广场,12392,30.00%,3.5,"云龙/万达广场/和平大道,庆丰路"
天骄世家(商住楼),13345,30.00%,2.7,鼓楼/四道街/环城路173号
万科橙郡,11520,30.00%,3.5,鼓楼/九里/平山路
西苑民安园,11357,30.00%,,泉山/西苑/西苑中路
怡和小区,9500,30.00%,1.6,鼓楼/堤北/黄河北路64号
云西小区,12769,30.00%,,泉山/市二院/中山南路
玉潭花溪,9776,30.00%,3.6,鼓楼/九里/九里山西路
财富城,5118,30.00%,,丰县/城区/人民路
东城嘉苑,3750,30.00%,1.2,邳州/邳州市区/邳新路4号
东兴新苑,4981,30.00%,2,邳州/邳州市区/民主路139号
风华园,11388,30.00%,,"泉山/矿业大学/三环南路,近解放南路"
铜山万达广场,10014,30.00%,3.5,铜山/铜山万达/北京北路19号
刘湾小区(北区),5483,30.00%,,鼓楼/下淀/海鸥路
绿地工润和平壹号(一期),14507,30.00%,,"云龙/万达广场/民富路,近汉源大道"
美的公园天下,11140,30.00%,2.8,泉山/火花/卧牛山路
星科印象,8852,30.00%,1.59,睢宁/城区/中央大街
新府园,2612,30.00%,1.29,睢宁/城区/岚山线
万邦盛世嘉园,6940,30.00%,2,邳州/邳州市区/瑞兴北路
蟠桃花园佟村社区,5407,30.00%,1.4,"金山桥开发区/泰隆商业街/长安大道,近广德路"
蟠桃花园九期,5522,30.00%,1.4,"金山桥开发区/泰隆商业街/振兴大道,近广德路东支路"
蟠桃花园可恋庄社区,5427,30.00%,1.4,金山桥开发区/泰隆商业街/杨山路
蟠桃花园三里桥社区,5219,30.00%,1.4,金山桥开发区/泰隆商业街/杨山路
奥都花园(东区),7430,30.00%,1.25,"新城区/奥体中心/紫金路,近新元大道"
龙城国际,6445,30.00%,2.49,沛县/沛县市区/汉源大道
金色年华,13322,30.00%,2.8,"金山桥开发区/高铁站/振兴大道,近徐海路"
华鑫公寓,5544,30.00%,,邳州/邳州市区/天山北路
黄山花园,10116,30.00%,1.2,"云龙/万达广场/黄山大道,近黄山路"
汉锦城,9420,30.00%,2.9,新沂/新沂市区/南京路59号
银河星城星天地,7581,30.00%,1.8,睢宁/城区/人民西路258号
壹品城邦,5889,30.00%,1.3,丰县/城区/解放东路
合和百富城,1034,30.00%,3,新沂/新沂市区/黄沭路
国信金澜世家,3910,30.00%,1.49,新沂/新沂市区/黄沭路
海尔滟澜公馆,20015,30.00%,2.5,泉山/段庄广场/矿山路
汉城国际花苑,6652,30.00%,2.9,沛县/沛县市区/汉城路
汉爵御苑,6470,30.00%,1.8,沛县/沛县市区/红光路
国鸿香樟苑,5619,30.00%,3,沛县/沛县市区/正阳大道
水岸城邦,5884,30.00%,1.95,"睢宁/城区/青年路,近睢河路"
汉源国际华城(别墅),14576,30.00%,1.35,新城区/新市政府/钱塘路1号
源宏公馆,6222,30.00%,2.8,邳州/邳州市区/拢海大道
